Year,CO2 (ppm),Emissions path
1750,276.8,Historical
1755,276.7,Historical
1760,276.5,Historical
1765,276.6,Historical
1770,277.3,Historical
1775,278,Historical
1780,278.2,Historical
1785,278.6,Historical
1790,280,Historical
1795,281.4,Historical
1800,282.6,Historical
1805,283.6,Historical
1810,284.2,Historical
1815,284,Historical
1820,283.3,Historical
1825,283.1,Historical
1830,283.8,Historical
1835,283.9,Historical
1840,284.1,Historical
1845,285.8,Historical
1850,286.8,Historical
1855,286.4,Historical
1860,286.1,Historical
1865,286.3,Historical
1870,288,Historical
1875,289.4,Historical
1880,289.8,Historical
1885,290.9,Historical
1890,293.1,Historical
1895,295.4,Historical
1900,296.2,Historical
1905,297.4,Historical
1910,299.3,Historical
1915,301.1,Historical
1920,303.3,Historical
1925,304.7,Historical
1930,306.6,Historical
1935,308.4,Historical
1940,310.4,Historical
1945,310.9,Historical
1950,311.2,Historical
1955,313.4,Historical
1956,314,Historical
1957,314.6,Historical
1958,315.3,Historical
1959,315.98,Historical
1960,316.91,Historical
1961,317.64,Historical
1962,318.45,Historical
1963,318.99,Historical
1964,319.62,Historical
1965,320.04,Historical
1966,321.37,Historical
1967,322.18,Historical
1968,323.05,Historical
1969,324.62,Historical
1970,325.68,Historical
1971,326.32,Historical
1972,327.46,Historical
1973,329.68,Historical
1974,330.19,Historical
1975,331.12,Historical
1976,332.03,Historical
1977,333.84,Historical
1978,335.41,Historical
1979,336.84,Historical
1980,338.76,Historical
1981,340.12,Historical
1982,341.48,Historical
1983,343.15,Historical
1984,344.85,Historical
1985,346.35,Historical
1986,347.61,Historical
1987,349.31,Historical
1988,351.69,Historical
1989,353.2,Historical
1990,354.45,Historical
1991,355.7,Historical
1992,356.54,Historical
1993,357.21,Historical
1994,358.96,Historical
1995,360.97,Historical
1996,362.74,Historical
1997,363.88,Historical
1998,366.84,Historical
1999,368.54,Historical
2000,369.71,Historical
2001,371.32,Historical
2002,373.45,Historical
2003,375.98,Historical
2004,377.7,Historical
2005,379.98,Historical
2006,382.09,Historical
2007,384.03,Historical
2008,385.83,Historical
2009,387.64,Historical
2010,390.1,Historical
2011,391.85,Historical
2012,394.06,Historical
2013,396.74,Historical
2014,398.87,Historical
2015,401.01,Historical
2016,404.41,Historical
2017,406.76,Historical
2018,408.72,Historical
2019,411.66,Historical
2019,411.66,Low
2020,412.1,Low
2030,430.8,Low
2040,440.2,Low
2050,442.7,Low
2060,441.7,Low
2070,437.5,Low
2080,431.6,Low
2090,426,Low
2100,420.9,Low
2019,411.66,Medium low
2020,411.1,Medium low
2030,435,Medium low
2040,460.8,Medium low
2050,486.5,Medium low
2060,508.9,Medium low
2070,524.3,Medium low
2080,531.1,Medium low
2090,533.7,Medium low
2100,538.4,Medium low
2019,411.66,Medium high
2020,409.4,Medium high
2030,428.9,Medium high
2040,450.7,Medium high
2050,477.7,Medium high
2060,510.6,Medium high
2070,549.8,Medium high
2080,594.3,Medium high
2090,635.6,Medium high
2100,669.7,Medium high
2019,411.66,High
2020,415.8,High
2030,448.8,High
2040,489.4,High
2050,540.5,High
2060,603.5,High
2070,677.1,High
2080,758.2,High
2090,844.8,High
2100,935.9,High
