Year,Temperature,Emissions path
1850,-0.62,Historical
1860,-0.635,Historical
1870,-0.558,Historical
1880,-0.597,Historical
1890,-0.659,Historical
1900,-0.71,Historical
1910,-0.687,Historical
1920,-0.542,Historical
1930,-0.416,Historical
1940,-0.302,Historical
1950,-0.361,Historical
1960,-0.354,Historical
1970,-0.377,Historical
1980,-0.205,Historical
1990,-0.03,Historical
2000,0.153,Historical
2010,0.36,Historical
2010,0.36,Low
2020,0.55,Low
2030,0.74,Low
2040,0.88,Low
2050,0.94,Low
2060,0.93,Low
2070,0.89,Low
2080,0.94,Low
2090,0.94,Low
2010,0.36,Medium low
2020,0.59,Medium low
2030,0.82,Medium low
2040,1.04,Medium low
2050,1.24,Medium low
2060,1.44,Medium low
2070,1.54,Medium low
2080,1.62,Medium low
2090,1.68,Medium low
2010,0.36,Medium high
2020,0.55,Medium high
2030,0.74,Medium high
2040,0.95,Medium high
2050,1.15,Medium high
2060,1.32,Medium high
2070,1.58,Medium high
2080,1.81,Medium high
2090,2.03,Medium high
2010,0.37,High
2020,0.66,High
2030,0.94,High
2040,1.29,High
2050,1.7,High
2060,2.16,High
2070,2.6,High
2080,3.05,High
2090,3.57,High
