Year,CO2 emissions (Pg/yr),CO2 concentrations (ppm),Temperature,Emissions path
1750,0.002550273,276.8,,Historical
1751,0.002550273,,,Historical
1752,0.002551091,,,Historical
1753,0.002551091,,,Historical
1754,0.002552182,,,Historical
1755,0.002553273,276.7,,Historical
1756,0.002728909,,,Historical
1757,0.00273,,,Historical
1758,0.002731091,,,Historical
1759,0.002731909,,,Historical
1760,0.002731909,276.5,,Historical
1761,0.002992909,,,Historical
1762,0.002993727,,,Historical
1763,0.002994818,,,Historical
1764,0.002995909,,,Historical
1765,0.002996727,276.6,,Historical
1766,0.003343636,,,Historical
1767,0.003344455,,,Historical
1768,0.003345545,,,Historical
1769,0.003346636,,,Historical
1770,0.003347455,277.3,,Historical
1771,0.003712364,,,Historical
1772,0.003713182,,,Historical
1773,0.003714273,,,Historical
1774,0.003715364,,,Historical
1775,0.003716182,278,,Historical
1776,0.004101,,,Historical
1777,0.004102091,,,Historical
1778,0.004102909,,,Historical
1779,0.004104,,,Historical
1780,0.004105909,278.2,,Historical
1781,0.004593545,,,Historical
1782,0.004594636,,,Historical
1783,0.004596545,,,Historical
1784,0.004597636,,,Historical
1785,0.004600636,278.6,,Historical
1786,0.005223273,,,Historical
1787,0.005225182,,,Historical
1788,0.005226273,,,Historical
1789,0.005228182,,,Historical
1790,0.005230091,280,,Historical
1791,0.005841818,,,Historical
1792,0.005971636,,,Historical
1793,0.005976545,,,Historical
1794,0.005967545,,,Historical
1795,0.005970545,281.4,,Historical
1796,0.006259364,,,Historical
1797,0.006571091,,,Historical
1798,0.006844091,,,Historical
1799,0.007207636,,,Historical
1800,0.007661455,282.6,,Historical
1801,0.007625455,,,Historical
1802,0.010031727,,,Historical
1803,0.008587636,,,Historical
1804,0.009357273,,,Historical
1805,0.009114273,283.6,,Historical
1806,0.009558,,,Historical
1807,0.010056545,,,Historical
1808,0.009562909,,,Historical
1809,0.00957,,,Historical
1810,0.010194545,284.2,,Historical
1811,0.010795091,,,Historical
1812,0.011183727,,,Historical
